Ticker,Name,Sector,Industry,ROCE,ROCEAvg,DE,RevGrowth,EarnGrowth,CFOQuality,FCFMargin,GrossMargin,OpMargin,NetMargin,PE,PEMedian,EarnYield,BondYield,Price,EntryPrice,QualityPass,NetDebtEBITDA,FCFtoNI,FCFYield,Hurdle,FCFFloor,FCFFairValue,ImpliedGrowth,SustGrowth,ReverseDCF,RSI14,SMA200,PriceVsSma200,TechnicalReady,MktCap,Score,Verdict,Tags,ROCEHistory,DataQuality
BLUESTARCO.NS,Blue Star Limited,Industrials,Building Products & Equipment,22.3%,22.7% (4yr),0.33x,25.5% (3yr),52.2% (3yr),0.83x,0.0%,23.0%,6.0%,4.0%,70.9x,72.3x,1.4%,7.0%,₹1708.60,₹344.14,Y,0.71x,0.00x (reinvesting),0.0%,10.0%,—,—,—,22.3%,—,31.5,₹1823.02,below,Ready,₹35127 Cr,65,PASS,"Good ROCE, Steady ROCE (4yr), Modest Debt, Strong Growth, Below Historical P/E, Entry Quality Pass",TTM: 22%  |  2025: 24%  |  2024: 21%  |  2023: 26%  |  2022: 20%,✓ Filing 2025-03-31 (11mo old)
HDFCAMC.NS,HDFC Asset Management Company Limited,Financial Services,Asset Management,44.6%,27.6% (4yr),Neg. Equity / N/A,18.3% (3yr),20.9% (3yr),0.84x,0.0%,89.8%,82.4%,62.7%,35.7x,46.5x,2.8%,7.0%,₹2385.90,₹954.43,Y,-0.01x,0.00x (reinvesting),0.0%,10.0%,—,—,—,44.6%,—,27.2,₹2683.02,below,Ready,₹1.0L Cr,65,PASS,"Elite ROCE, Consistent ROCE (4yr), High Debt, Strong Growth, Below Historical P/E, Entry Quality Pass",TTM: 45%  |  2025: 32%  |  2024: 26%  |  2023: 25%  |  2022: 27%,✓ Filing 2025-03-31 (11mo old)
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,21.6%,20.7% (4yr),0.04x,6.5% (3yr),6.2% (3yr),1.16x,0.0%,50.9%,21.0%,22.3%,48.3x,59.5x,2.1%,7.0%,₹2082.70,₹615.86,Y,-0.45x,0.00x (reinvesting),0.0%,10.0%,—,—,—,21.6%,—,12.9,₹2409.91,below,Ready,₹4.9L Cr,65,PASS,"Good ROCE, Near Zero Debt, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 22%  |  2025: 21%  |  2024: 20%  |  2023: 21%  |  2022: 20%,✓ Filing 2025-03-31 (11mo old)
CLEAN.NS,Clean Science and Technology Limited,Basic Materials,Specialty Chemicals,16.1%,28.8% (4yr),0.00x,11.9% (3yr),5.0% (3yr),0.83x,0.0%,61.9%,24.1%,25.3%,30.2x,61.5x,3.3%,7.0%,₹698.60,₹330.29,N,-1.02x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,16.1%,—,40.7,₹1048.73,below,Not yet,₹7427 Cr,65,WATCH,"Consistent ROCE (4yr), Near Zero Debt, Partial Growth",TTM: 16%  |  2025: 22%  |  2024: 23%  |  2023: 35%  |  2022: 35%,✓ Filing 2025-03-31 (11mo old)
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,20.1%,15.7% (4yr),0.07x,10.6% (3yr),49.5% (3yr),1.24x,0.0%,78.5%,26.2%,19.2%,39.1x,46.5x,2.6%,7.0%,₹1777.10,₹649.86,Y,-1.41x,0.00x (reinvesting),0.0%,10.0%,—,—,—,20.1%,—,58.7,₹1684.47,above,Not yet,₹4.3L Cr,64,WATCH,"Good ROCE, Near Zero Debt, Strong Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 20%  |  2025: 17%  |  2024: 15%  |  2023: 15%  |  2022: 15%,✓ Filing 2025-03-31 (11mo old)
KPRMILL.NS,K.P.R. Mill Limited,Consumer Cyclical,Textile Manufacturing,20.9%,24.4% (4yr),0.06x,9.5% (3yr),-1.1% (3yr),0.88x,0.0%,37.4%,16.4%,12.7%,33.3x,39.4x,3.0%,7.0%,₹823.10,₹352.71,N,-0.99x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,20.9%,—,37.7,₹1013.31,below,Not yet,₹28193 Cr,64,PASS,"Good ROCE, Steady ROCE (4yr), Near Zero Debt, ⚠ Declining Growth, Below Historical P/E",TTM: 21%  |  2025: 20%  |  2024: 22%  |  2023: 26%  |  2022: 29%,✓ Filing 2025-03-31 (11mo old)
3MINDIA.NS,3M India Limited,Industrials,Conglomerates,43.4%,29.6% (4yr),0.06x,10.0% (3yr),20.5% (3yr),1.00x,0.0%,42.3%,17.5%,7.7%,96.2x,87.5x,1.0%,7.0%,₹32270.00,₹4794.43,Y,-0.55x,0.00x (reinvesting),0.0%,10.0%,—,—,—,43.4%,—,18.3,₹32266.03,above,Not yet,₹36352 Cr,64,WATCH,"Elite ROCE, Steady ROCE (4yr), Near Zero Debt, Strong Growth, High Cash Quality, Conglomerate — Avoid, Entry Quality Pass",TTM: 43%  |  2025: 37%  |  2024: 33%  |  2023: 33%  |  2022: 15%,✓ Filing 2025-03-31 (11mo old)
MCX.NS,Multi Commodity Exchange of India Limited,Financial Services,Financial Data & Stock Exchanges,45.2%,9.0% (4yr),0.00x,44.5% (3yr),57.5% (3yr),2.06x,0.0%,95.3%,72.4%,51.7%,97.1x,101.2x,1.0%,7.0%,₹2414.50,₹355.29,Y,-1.89x,0.00x (reinvesting),0.0%,10.0%,—,—,—,45.2%,—,48.0,₹1928.52,above,Not yet,₹61452 Cr,63,WATCH,"Elite ROCE, ROCE Volatile, Near Zero Debt, Strong Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 45%  |  2025: 21%  |  2024: 1%  |  2023: 6%  |  2022: 7%,✓ Filing 2025-03-31 (11mo old)
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,Industrials,Aerospace & Defense,33.3%,17.3% (4yr),0.00x,25.1% (3yr),58.1% (3yr),0.68x,0.0%,38.9%,24.0%,19.5%,38.9x,41.5x,2.6%,7.0%,₹2324.10,₹853.29,Y,-6.53x,0.00x (reinvesting),0.0%,10.0%,—,—,—,33.3%,—,55.1,₹2713.43,below,Not yet,₹93750 Cr,63,WATCH,"High ROCE, Near Zero Debt, Strong Growth, Below Historical P/E, Entry Quality Pass",TTM: 33%  |  2025: 28%  |  2024: 20%  |  2023: 14%  |  2022: 8%,✓ Filing 2025-03-31 (11mo old)
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,125.6%,,0.00x,16.3% (3yr),17.2% (3yr),0.15x,0.0%,99.2%,83.7%,735.3%,12.0x,18.1x,8.3%,7.0%,₹9512.00,₹11278.57,Y,-0.92x,0.00x (reinvesting),0.0%,10.0%,—,—,—,125.6%,—,19.2,₹12257.91,below,Ready,₹1.1L Cr,63,PASS,"Elite ROCE, Near Zero Debt, Strong Growth, ⚠ Accruals Risk, Cheap vs History + Bonds, Entry Quality Pass",,✓ Filing 2025-03-31 (11mo old)
IGIL.NS,International Gemmological Institute (India) Limited,Basic Materials,Other Precious Metals & Mining,44.6%,59.6% (3yr),0.10x,36.4% (3yr),30.0% (3yr),0.91x,12.7%,77.3%,56.1%,43.3%,28.6x,—,3.5%,7.0%,₹338.45,₹169.29,Y,-0.44x,0.29x (reinvesting),1.1%,10.0%,₹44  (10× FCF),₹128 – ₹370  (33× – 80× FCF),8.8%,31.5%,Buy,55.1,₹343.57,below,Not yet,₹14626 Cr,62,WATCH,"Elite ROCE, Consistent ROCE (3yr), Low Debt, Strong Growth, Volatile Industry, Entry Quality Pass",TTM: 45%  |  2025: 45%  |  2024: 47%  |  2022: 87%,✓ Filing 2025-12-31 (2mo old)
TARIL.NS,TRANS & RECTI. LTD,Industrials,Electrical Equipment & Parts,27.5%,19.8% (4yr),0.27x,20.2% (3yr),148.4% (3yr),0.69x,0.0%,33.0%,15.9%,11.2%,31.8x,59.9x,3.1%,7.0%,₹285.15,₹128.29,Y,-0.07x,0.00x (reinvesting),0.0%,10.0%,—,—,—,27.5%,—,40.4,₹398.21,below,Not yet,₹8559 Cr,62,PASS,"Good ROCE, Low Debt, Strong Growth, Below Historical P/E, Entry Quality Pass",TTM: 28%  |  2025: 22%  |  2024: 19%  |  2023: 21%  |  2022: 16%,✓ Filing 2025-03-31 (11mo old)
BSOFT.NS,Birlasoft Limited,Technology,Information Technology Services,26.8%,21.3% (4yr),0.04x,9.2% (3yr),3.7% (3yr),1.11x,0.0%,38.6%,18.6%,8.8%,21.5x,24.7x,4.7%,7.0%,₹358.05,₹237.86,N,-2.48x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,26.8%,—,33.4,₹396.01,below,Ready,₹10007 Cr,62,PASS,"Good ROCE, Near Zero Debt, High Cash Quality, Below Historical P/E",TTM: 27%  |  2025: 17%  |  2024: 29%  |  2023: 18%  |  2022: 21%,✓ Filing 2025-03-31 (11mo old)
