Ticker,Name,Sector,Industry,ROCE,ROCEAvg,DE,RevGrowth,EarnGrowth,CFOQuality,FCFMargin,GrossMargin,OpMargin,NetMargin,PE,PEMedian,EarnYield,BondYield,Price,EntryPrice,QualityPass,NetDebtEBITDA,FCFtoNI,FCFYield,Hurdle,FCFFloor,FCFFairValue,ImpliedGrowth,SustGrowth,ReverseDCF,RSI14,SMA200,PriceVsSma200,TechnicalReady,MktCap,Score,Verdict,Tags,ROCEHistory,DataQuality
ASTRAZEN.NS,AstraZeneca Pharma India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,17.9%,22.1% (4yr),0.04x,28.6% (3yr),23.4% (3yr),0.58x,0.0%,42.5%,6.7%,9.2%,103.1x,138.2x,1.0%,7.0%,₹8321.00,₹1153.00,N,-1.23x,0.00x (reinvesting),0.0%,10.0%,—,—,—,17.9%,—,28.8,₹8961.81,below,Ready,₹20802 Cr,60,WATCH,"Steady ROCE (4yr), Near Zero Debt, Strong Growth, ⚠ Accruals Risk",TTM: 18%  |  2025: 26%  |  2024: 24%  |  2023: 25%  |  2022: 13%,✓ Filing 2025-03-31 (11mo old)
INDGN.NS,INDEGENE LIMITED,Healthcare,Health Information Services,15.0%,21.6% (4yr),0.04x,19.5% (3yr),35.1% (3yr),1.17x,0.0%,98.1%,12.7%,13.5%,24.2x,42.9x,4.1%,7.0%,₹440.65,₹260.00,N,-2.08x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,15.0%,—,24.9,₹534.62,below,Ready,₹10590 Cr,59,WATCH,"Near Zero Debt, Strong Growth, High Cash Quality",TTM: 15%  |  2025: 16%  |  2024: 22%  |  2023: 20%  |  2022: 28%,✓ Filing 2025-03-31 (11mo old)
KALYANKJIL.NS,Kalyan Jewellers India Limited,Consumer Cyclical,Luxury Goods,31.1%,19.2% (4yr),1.00x,32.3% (3yr),47.2% (3yr),1.93x,0.0%,13.2%,6.2%,3.6%,34.9x,84.0x,2.9%,7.0%,₹382.70,₹156.43,N,2.33x,0.00x (reinvesting),0.0%,10.0%,—,—,—,31.1%,—,34.2,₹491.39,below,Ready,₹39540 Cr,59,WATCH,"High ROCE, Strong Growth, High Cash Quality, Below Historical P/E",TTM: 31%  |  2025: 20%  |  2024: 20%  |  2023: 21%  |  2022: 17%,✓ Filing 2025-03-31 (11mo old)
KIRLOSBROS.NS,Kirloskar Brothers Limited,Industrials,Specialty Industrial Machinery,19.9%,19.9% (4yr),0.10x,13.9% (3yr),63.9% (3yr),1.10x,0.0%,51.3%,10.4%,9.1%,31.1x,30.8x,3.2%,7.0%,₹1561.40,₹718.29,N,-0.75x,0.00x (reinvesting),0.0%,10.0%,—,—,—,19.9%,—,47.9,₹1811.20,below,Not yet,₹12401 Cr,59,WATCH,"Near Zero Debt, Strong Growth, High Cash Quality",TTM: 20%  |  2025: 23%  |  2024: 25%  |  2023: 21%  |  2022: 11%,✓ Filing 2025-03-31 (11mo old)
RRKABEL.NS,R R Kabel Limited,Industrials,Electrical Equipment & Parts,28.3%,19.2% (4yr),0.17x,20.3% (3yr),13.4% (3yr),1.37x,0.0%,18.4%,7.1%,5.0%,34.7x,54.3x,2.9%,7.0%,₹1391.40,₹572.43,Y,0.53x,0.00x (reinvesting),0.0%,10.0%,—,—,—,28.3%,—,31.4,₹1361.90,above,Not yet,₹15737 Cr,59,WATCH,"Good ROCE, Low Debt, Strong Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 28%  |  2025: 19%  |  2024: 21%  |  2023: 18%  |  2022: 20%,✓ Filing 2025-03-31 (11mo old)
SUPREMEIND.NS,The Supreme Industries Limited,Industrials,Building Products & Equipment,13.9%,22.2% (4yr),0.06x,10.2% (3yr),-0.3% (3yr),0.98x,0.0%,31.0%,7.6%,7.6%,59.9x,55.4x,1.7%,7.0%,₹3834.40,₹914.71,N,0.02x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,13.9%,—,42.6,₹3975.20,below,Not yet,₹48728 Cr,59,WATCH,"Steady ROCE (4yr), Near Zero Debt, Partial Growth",TTM: 14%  |  2025: 19%  |  2024: 24%  |  2023: 21%  |  2022: 26%,✓ Filing 2025-03-31 (11mo old)
MSUMI.NS,Motherson Sumi Wiring India Limited,Consumer Cyclical,Auto Parts,39.6%,43.2% (4yr),0.14x,18.4% (3yr),13.8% (3yr),0.39x,0.0%,32.4%,7.2%,5.9%,39.3x,54.6x,2.5%,7.0%,₹36.98,₹13.43,Y,0.20x,0.00x (reinvesting),0.0%,10.0%,—,—,—,39.6%,—,11.0,₹43.91,below,Ready,₹24524 Cr,58,WATCH,"High ROCE, Consistent ROCE (4yr), Low Debt, Strong Growth, ⚠ Accruals Risk, Volatile Industry, Below Historical P/E, Entry Quality Pass",TTM: 40%  |  2025: 42%  |  2024: 44%  |  2023: 41%  |  2022: 46%,✓ Filing 2025-03-31 (11mo old)
NATIONALUM.NS,National Aluminium Company Limited,Basic Materials,Aluminum,39.4%,22.3% (4yr),0.00x,5.8% (3yr),21.3% (3yr),1.16x,0.0%,70.8%,42.2%,33.9%,11.0x,15.3x,9.1%,7.0%,₹368.50,₹477.43,Y,-0.95x,0.00x (reinvesting),0.0%,10.0%,—,—,—,39.4%,—,54.4,₹255.15,above,Not yet,₹67755 Cr,58,WATCH,"High ROCE, Near Zero Debt, Partial Growth, High Cash Quality, Volatile Industry, Cheap vs History + Bonds, Entry Quality Pass",TTM: 39%  |  2025: 35%  |  2024: 13%  |  2023: 13%  |  2022: 28%,✓ Filing 2025-03-31 (11mo old)
DATAPATTNS.NS,Data Patterns (India) Limited,Industrials,Aerospace & Defense,26.9%,17.0% (4yr),0.00x,31.6% (3yr),33.1% (3yr),0.14x,0.0%,53.0%,43.1%,25.3%,73.0x,75.9x,1.4%,7.0%,₹3230.80,₹632.29,N,-1.00x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,26.9%,—,50.9,₹2781.60,above,Not yet,₹18087 Cr,57,WATCH,"Good ROCE, Near Zero Debt, Strong Growth, ⚠ Accruals Risk, Below Historical P/E",TTM: 27%  |  2025: 17%  |  2024: 15%  |  2023: 13%  |  2022: 23%,✓ Filing 2025-03-31 (11mo old)
GODFRYPHLP.NS,Godfrey Phillips India Limited,Consumer Defensive,Tobacco,21.3%,17.0% (4yr),0.03x,28.1% (3yr),34.8% (3yr),0.52x,0.0%,41.0%,19.1%,20.8%,23.9x,30.4x,4.2%,7.0%,₹1991.50,₹1189.14,Y,-0.71x,0.00x (reinvesting),0.0%,10.0%,—,—,—,21.3%,—,38.5,₹2812.76,below,Not yet,₹31064 Cr,57,WATCH,"Good ROCE, Near Zero Debt, Strong Growth, ⚠ Accruals Risk, Below Historical P/E, Entry Quality Pass",TTM: 21%  |  2025: 19%  |  2024: 17%  |  2023: 17%  |  2022: 15%,✓ Filing 2025-03-31 (11mo old)
KSB.NS,KSB Limited,Industrials,Specialty Industrial Machinery,22.2%,17.8% (4yr),0.00x,14.2% (3yr),14.0% (3yr),0.51x,-1.0%,46.0%,14.5%,10.0%,50.2x,53.7x,2.0%,7.0%,₹782.30,₹222.43,N,-0.74x,-0.10x ⚠ neg FCF,-0.2%,10.0%,₹0  (10× FCF),—,10.2%,22.2%,Buy,53.4,₹786.85,below,Not yet,₹13615 Cr,57,WATCH,"Good ROCE, Near Zero Debt, Strong Growth, ⚠ Accruals Risk, Below Historical P/E",TTM: 22%  |  2025: 18%  |  2024: 18%  |  2023: 18%  |  2022: 17%,✓ Filing 2025-12-31 (2mo old)
POWERINDIA.NS,Hitachi Energy India Limited,Industrials,Electrical Equipment & Parts,27.6%,17.7% (4yr),0.02x,9.3% (3yr),23.6% (3yr),1.92x,0.0%,40.0%,16.3%,11.5%,131.6x,—,0.8%,7.0%,₹25025.00,₹2717.00,N,-4.44x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,27.6%,—,45.3,₹19912.94,above,Not yet,₹1.1L Cr,56,WATCH,"Good ROCE, Near Zero Debt, Partial Growth, High Cash Quality",TTM: 28%  |  2025: 12%  |  2024: 19%  |  2023: 17%  |  2021: 23%,✓ Filing 2025-03-31 (11mo old)
BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,17.2%,27.1% (4yr),0.03x,5.1% (3yr),-4.2% (3yr),0.75x,0.0%,39.5%,9.2%,11.9%,31.6x,32.8x,3.2%,7.0%,₹4717.50,₹2129.57,N,-0.77x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,17.2%,—,52.4,₹4999.37,below,Not yet,₹21214 Cr,55,WATCH,"Consistent ROCE (4yr), Near Zero Debt, ⚠ Declining Growth",TTM: 17%  |  2025: 20%  |  2024: 30%  |  2023: 30%  |  2022: 28%,✓ Filing 2025-03-31 (11mo old)
EMCURE.NS,EMCURE PHARMACEUTICALS L,Healthcare,Drug Manufacturers - Specialty & Generic,23.9%,25.1% (4yr),0.34x,10.6% (3yr),1.0% (3yr),1.46x,0.0%,59.1%,15.0%,9.8%,32.2x,55.0x,3.1%,7.0%,₹1478.20,₹656.71,N,0.69x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,23.9%,—,52.2,₹1401.74,above,Not yet,₹28025 Cr,55,WATCH,"Good ROCE, Modest Debt, Partial Growth, High Cash Quality, Below Historical P/E",TTM: 24%  |  2025: 19%  |  2024: 20%  |  2023: 26%  |  2022: 35%,✓ Filing 2025-03-31 (11mo old)
VBL.NS,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,1.4%,24.5% (4yr),0.13x,17.3% (3yr),26.6% (3yr),1.21x,-0.5%,55.2%,1.3%,14.0%,44.7x,81.0x,2.2%,7.0%,₹401.45,₹128.43,N,0.10x,-0.03x ⚠ neg FCF,-0.1%,10.0%,—,—,10.1%,1.4%,Not Buy,28.3,₹469.66,below,Ready,₹1.4L Cr,54,WATCH,"Steady ROCE (4yr), Low Debt, Strong Growth, High Cash Quality",TTM: 1%  |  2025: 18%  |  2024: 22%  |  2023: 28%  |  2022: 30%,✓ Filing 2025-12-31 (2mo old)
HAVELLS.NS,Havells India Limited,Industrials,Electrical Equipment & Parts,18.1%,20.0% (4yr),0.03x,16.0% (3yr),7.2% (3yr),1.15x,0.0%,32.8%,7.3%,6.6%,54.1x,78.9x,1.8%,7.0%,₹1281.20,₹338.57,N,-0.55x,0.00x (reinvesting),0.0%,10.0%,—,—,—,18.1%,—,33.2,₹1464.71,below,Ready,₹80369 Cr,54,WATCH,"Near Zero Debt, Partial Growth, High Cash Quality",TTM: 18%  |  2025: 20%  |  2024: 19%  |  2023: 18%  |  2022: 22%,✓ Filing 2025-03-31 (11mo old)
BASF.NS,BASF India Limited,Basic Materials,Specialty Chemicals,13.9%,22.6% (4yr),0.04x,5.2% (3yr),-7.0% (3yr),1.00x,0.0%,15.7%,3.5%,2.5%,37.9x,35.8x,2.6%,7.0%,₹3312.20,₹1249.14,N,-0.07x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,13.9%,—,40.8,₹4322.82,below,Not yet,₹14337 Cr,54,WATCH,"Steady ROCE (4yr), Near Zero Debt, ⚠ Declining Growth, High Cash Quality",TTM: 14%  |  2025: 16%  |  2024: 22%  |  2023: 20%  |  2022: 32%,✓ Filing 2025-03-31 (11mo old)
APLAPOLLO.NS,APL Apollo Tubes Limited,Basic Materials,Steel,31.0%,23.4% (4yr),0.16x,16.6% (3yr),6.9% (3yr),1.33x,0.0%,15.5%,7.1%,5.3%,48.1x,66.0x,2.1%,7.0%,₹1973.10,₹586.29,N,-0.36x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,31.0%,—,30.7,₹1820.02,above,Not yet,₹54793 Cr,54,WATCH,"High ROCE, Steady ROCE (4yr), Low Debt, Partial Growth, High Cash Quality, Volatile Industry, Below Historical P/E",TTM: 31%  |  2025: 20%  |  2024: 22%  |  2023: 24%  |  2022: 28%,✓ Filing 2025-03-31 (11mo old)
ELECON.NS,Elecon Engineering Company Limited,Industrials,Specialty Industrial Machinery,16.4%,21.7% (4yr),0.11x,22.6% (3yr),43.5% (3yr),1.16x,0.0%,43.4%,14.9%,19.9%,18.1x,39.9x,5.5%,7.0%,₹389.85,₹306.86,N,-1.11x,0.00x (reinvesting),0.0%,10.0%,—,—,—,16.4%,—,39.0,₹528.55,below,Not yet,₹8748 Cr,54,WATCH,"Low Debt, Strong Growth, High Cash Quality",TTM: 16%  |  2025: 22%  |  2024: 25%  |  2023: 22%  |  2022: 17%,✓ Filing 2025-03-31 (11mo old)
GRANULES.NS,Granules India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,20.3%,20.1% (4yr),0.45x,6.1% (3yr),6.7% (3yr),1.29x,0.0%,61.9%,16.9%,10.7%,26.2x,29.6x,3.8%,7.0%,₹590.95,₹321.71,N,1.16x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,20.3%,—,52.7,₹539.97,above,Not yet,₹14644 Cr,53,WATCH,"Good ROCE, Modest Debt, High Cash Quality, Below Historical P/E",TTM: 20%  |  2025: 17%  |  2024: 19%  |  2023: 24%  |  2022: 20%,✓ Filing 2025-03-31 (11mo old)
ANGELONE.NS,Angel One Limited,Financial Services,Capital Markets,23.6%,37.9% (4yr),0.76x,28.6% (3yr),23.3% (3yr),-0.22x,0.0%,84.8%,30.7%,17.5%,28.2x,23.1x,3.5%,7.0%,₹231.32,₹117.00,N,-5.30x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,23.6%,—,48.6,₹253.60,below,Not yet,₹21028 Cr,53,WATCH,"Good ROCE, Steady ROCE (4yr), Strong Growth, ⚠ Accruals Risk",TTM: 24%  |  2025: 20%  |  2024: 37%  |  2023: 46%  |  2022: 49%,✓ Filing 2025-03-31 (11mo old)
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,Industrials,Aerospace & Defense,24.9%,11.8% (4yr),0.01x,42.7% (3yr),40.7% (3yr),0.31x,0.0%,18.1%,8.4%,10.6%,37.9x,51.2x,2.6%,7.0%,₹2280.80,₹860.14,Y,-4.78x,0.00x (reinvesting),0.0%,10.0%,—,—,—,24.9%,—,40.7,₹2598.66,below,Not yet,₹26131 Cr,52,WATCH,"Good ROCE, Near Zero Debt, Strong Growth, ⚠ Accruals Risk, Below Historical P/E, Entry Quality Pass",TTM: 25%  |  2025: 19%  |  2024: 12%  |  2023: 8%  |  2022: 8%,✓ Filing 2025-03-31 (11mo old)
ALKEM.NS,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,20.4%,16.4% (4yr),0.17x,6.8% (3yr),9.6% (3yr),1.01x,0.0%,62.9%,19.6%,16.6%,26.5x,36.9x,3.8%,7.0%,₹5257.50,₹2831.57,N,-0.99x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,20.4%,—,30.0,₹5349.18,below,Ready,₹62861 Cr,52,WATCH,"Good ROCE, Low Debt, High Cash Quality, Below Historical P/E",TTM: 20%  |  2025: 16%  |  2024: 17%  |  2023: 13%  |  2022: 19%,✓ Filing 2025-03-31 (11mo old)
PETRONET.NS,Petronet LNG Limited,Energy,Oil & Gas Refining & Marketing,20.4%,22.2% (4yr),0.12x,5.9% (3yr),4.9% (3yr),1.06x,0.0%,13.2%,10.2%,7.8%,10.6x,10.7x,9.4%,7.0%,₹257.65,₹260.02,N,-2.00x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,20.4%,—,27.4,₹281.69,below,Ready,₹38648 Cr,52,WATCH,"Good ROCE, Steady ROCE (4yr), Low Debt, High Cash Quality, Volatile Industry, Cheap vs History + Bonds",TTM: 20%  |  2025: 21%  |  2024: 21%  |  2023: 22%  |  2022: 25%,✓ Filing 2025-03-31 (11mo old)
LTFOODS.NS,LT Foods Limited,Consumer Defensive,Packaged Foods,20.9%,18.4% (4yr),0.43x,17.0% (3yr),27.5% (3yr),1.05x,0.0%,34.7%,9.0%,6.3%,20.2x,22.3x,4.9%,7.0%,₹378.45,₹267.57,N,1.07x,0.00x (reinvesting),0.0%,10.0%,—,—,—,20.9%,—,43.9,₹422.54,below,Not yet,₹13149 Cr,52,WATCH,"Good ROCE, Modest Debt, Strong Growth, High Cash Quality, Below Historical P/E",TTM: 21%  |  2025: 18%  |  2024: 20%  |  2023: 17%  |  2022: 18%,✓ Filing 2025-03-31 (11mo old)
HEROMOTOCO.NS,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,27.7%,21.1% (4yr),0.03x,12.0% (3yr),23.6% (3yr),1.05x,0.0%,33.6%,13.0%,12.3%,19.4x,25.9x,5.2%,7.0%,₹5275.50,₹3881.29,Y,-1.58x,0.00x (reinvesting),0.0%,10.0%,—,—,—,27.7%,—,37.4,₹5179.24,above,Not yet,₹1.1L Cr,52,WATCH,"Good ROCE, Near Zero Debt, Strong Growth, High Cash Quality, Volatile Industry, Below Historical P/E, Entry Quality Pass",TTM: 28%  |  2025: 25%  |  2024: 24%  |  2023: 19%  |  2022: 16%,✓ Filing 2025-03-31 (11mo old)
HSCL.NS,Himadri Speciality Chemical Limited,Basic Materials,Specialty Chemicals,22.1%,14.6% (4yr),0.21x,18.1% (3yr),138.5% (3yr),1.01x,0.0%,35.9%,19.9%,15.7%,31.9x,72.1x,3.1%,7.0%,₹451.40,₹202.43,Y,0.18x,0.00x (reinvesting),0.0%,10.0%,—,—,—,22.1%,—,36.9,₹467.92,below,Not yet,₹22934 Cr,51,WATCH,"Good ROCE, ROCE Volatile, Low Debt, Strong Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 22%  |  2025: 20%  |  2024: 18%  |  2023: 15%  |  2022: 6%,✓ Filing 2025-03-31 (11mo old)
KAJARIACER.NS,Kajaria Ceramics Limited,Industrials,Building Products & Equipment,21.0%,18.5% (4yr),0.10x,7.8% (3yr),-7.9% (3yr),1.27x,0.0%,57.0%,13.7%,8.0%,37.3x,52.4x,2.7%,7.0%,₹951.35,₹364.29,N,-0.36x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,21.0%,—,48.9,₹1093.32,below,Not yet,₹15152 Cr,51,WATCH,"Good ROCE, Near Zero Debt, ⚠ Declining Growth, High Cash Quality, Below Historical P/E",TTM: 21%  |  2025: 15%  |  2024: 20%  |  2023: 18%  |  2022: 21%,✓ Filing 2025-03-31 (11mo old)
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,56.9%,34.9% (4yr),0.22x,11.0% (3yr),-45.9% (3yr),1.38x,0.0%,8.3%,8.4%,3.4%,7.4x,3.4x,13.6%,7.0%,₹1064.75,₹486.92,N,0.48x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,56.9%,—,59.9,₹811.85,above,Not yet,₹15871 Cr,51,WATCH,"Elite ROCE, Steady ROCE (4yr), ROCE Volatile, Low Debt, Partial Growth, High Cash Quality, Volatile Industry, Cheap vs Bonds",TTM: 57%  |  2025: 5%  |  2024: 36%  |  2023: 60%  |  2022: 39%,✓ Filing 2025-03-31 (11mo old)
DMART.NS,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,19.7%,16.5% (4yr),0.07x,24.2% (3yr),22.0% (3yr),1.01x,0.0%,14.6%,6.6%,4.3%,86.2x,111.7x,1.2%,7.0%,₹3770.80,₹624.86,N,0.30x,0.00x (reinvesting),0.0%,10.0%,—,—,—,19.7%,—,43.9,₹4117.66,below,Not yet,₹2.5L Cr,51,WATCH,"Near Zero Debt, Strong Growth, High Cash Quality",TTM: 20%  |  2025: 16%  |  2024: 18%  |  2023: 18%  |  2022: 14%,✓ Filing 2025-03-31 (11mo old)
DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,15.7%,21.3% (4yr),0.18x,14.9% (3yr),33.9% (3yr),0.99x,3.9%,55.2%,16.4%,16.4%,19.1x,21.2x,5.2%,7.0%,₹1298.90,₹970.43,N,-0.18x,0.24x (reinvesting),1.3%,10.0%,₹180  (10× FCF),₹557 – ₹1636  (33× – 80× FCF),8.6%,11.9%,Buy,53.0,₹1263.72,above,Not yet,₹1.1L Cr,51,WATCH,"Low Debt, Strong Growth",TTM: 16%  |  2025: 20%  |  2024: 22%  |  2023: 25%  |  2022: 18%,✓ Filing 2025-03-31 (11mo old)
VGUARD.NS,V-Guard Industries Limited,Industrials,Electrical Equipment & Parts,17.1%,16.6% (4yr),0.07x,16.5% (3yr),11.3% (3yr),1.27x,0.0%,35.3%,6.9%,5.0%,49.7x,67.0x,2.0%,7.0%,₹324.85,₹93.29,N,0.11x,0.00x (reinvesting),0.0%,10.0%,—,—,—,17.1%,—,59.1,₹353.15,below,Not yet,₹14175 Cr,51,WATCH,"Near Zero Debt, Strong Growth, High Cash Quality",TTM: 17%  |  2025: 18%  |  2024: 16%  |  2023: 12%  |  2022: 20%,✓ Filing 2025-03-31 (11mo old)
TECHM.NS,Tech Mahindra Limited,Technology,Information Technology Services,22.8%,16.7% (4yr),0.07x,5.9% (3yr),-8.6% (3yr),1.35x,0.0%,33.8%,13.1%,8.4%,26.6x,33.1x,3.8%,7.0%,₹1384.80,₹743.86,N,-0.70x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,22.8%,—,56.2,₹1517.85,below,Not yet,₹1.2L Cr,51,WATCH,"Good ROCE, Near Zero Debt, ⚠ Declining Growth, High Cash Quality, Below Historical P/E",TTM: 23%  |  2025: 16%  |  2024: 11%  |  2023: 19%  |  2022: 20%,✓ Filing 2025-03-31 (11mo old)
TBOTEK.NS,TBO TEK LIMITED,Consumer Cyclical,Travel Services,17.3%,28.5% (4yr),0.52x,54.6% (3yr),89.6% (3yr),1.56x,0.0%,80.5%,10.3%,10.5%,47.2x,91.4x,2.1%,7.0%,₹1068.10,₹323.43,N,-3.58x,0.00x (reinvesting),0.0%,10.0%,—,—,—,17.3%,—,28.1,₹1473.92,below,Ready,₹11379 Cr,50,WATCH,"Steady ROCE (4yr), Strong Growth, High Cash Quality",TTM: 17%  |  2025: 22%  |  2024: 32%  |  2023: 46%  |  2022: 13%,✓ Filing 2025-03-31 (11mo old)
GODREJCP.NS,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products,23.7%,19.8% (4yr),0.34x,5.5% (3yr),1.3% (3yr),1.73x,0.0%,51.6%,19.9%,12.0%,57.1x,65.6x,1.8%,7.0%,₹1017.60,₹254.43,Y,0.48x,0.00x (reinvesting),0.0%,10.0%,—,—,—,23.7%,—,18.2,₹1178.87,below,Ready,₹1.0L Cr,50,WATCH,"Good ROCE, Modest Debt, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 24%  |  2025: 22%  |  2024: 22%  |  2023: 16%  |  2022: 19%,✓ Filing 2025-03-31 (11mo old)
BLUEDART.NS,Blue Dart Express Limited,Industrials,Integrated Freight & Logistics,21.7%,26.4% (4yr),0.66x,9.1% (3yr),-12.9% (3yr),2.42x,0.0%,22.7%,8.4%,4.2%,47.6x,51.9x,2.1%,7.0%,₹5101.50,₹1530.43,N,0.87x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,21.7%,—,23.8,₹5838.22,below,Ready,₹12105 Cr,50,WATCH,"Good ROCE, Steady ROCE (4yr), ⚠ Declining Growth, High Cash Quality, Below Historical P/E",TTM: 22%  |  2025: 17%  |  2024: 22%  |  2023: 27%  |  2022: 39%,✓ Filing 2025-03-31 (11mo old)
LLOYDSME.NS,Lloyds Metals and Energy Limited,Basic Materials,Steel,52.3%,39.8% (4yr),1.00x,113.5% (3yr),146.0% (3yr),0.92x,0.0%,49.2%,31.1%,20.0%,28.4x,55.7x,3.5%,7.0%,₹1245.80,₹626.43,N,2.01x,0.00x (reinvesting),0.0%,10.0%,—,—,—,52.3%,—,51.3,₹1325.99,below,Not yet,₹70094 Cr,50,WATCH,"Elite ROCE, Consistent ROCE (4yr), Strong Growth, Volatile Industry, Below Historical P/E",TTM: 52%  |  2025: 26%  |  2024: 57%  |  2023: 54%  |  2022: 23%,✓ Filing 2025-03-31 (11mo old)
GVT&D.NS,GE Vernova T&D India Limited,Industrials,Specialty Industrial Machinery,79.7%,15.1% (4yr),0.01x,11.8% (3yr),— (unavailable),1.89x,0.0%,43.6%,26.1%,18.7%,88.5x,—,1.1%,7.0%,₹3678.90,₹593.86,Y,-0.58x,0.00x (reinvesting),0.0%,10.0%,—,—,—,79.7%,—,43.3,₹2937.14,above,Not yet,₹94197 Cr,50,WATCH,"Elite ROCE, ROCE Negative (some years), Near Zero Debt, High Cash Quality, Entry Quality Pass",TTM: 80%  |  2025: 42%  |  2024: 23%  |  2023: 9%  |  2022: -14%,✓ Filing 2025-03-31 (11mo old)
KEC.NS,KEC International Limited,Industrials,Engineering & Construction,25.5%,22.2% (4yr),0.94x,16.8% (3yr),19.8% (3yr),0.74x,0.0%,23.4%,6.3%,2.8%,21.1x,88.1x,4.8%,7.0%,₹546.10,₹370.57,N,2.90x,0.00x (reinvesting),0.0%,10.0%,—,—,—,25.5%,—,39.1,₹767.34,below,Not yet,₹14537 Cr,50,WATCH,"Good ROCE, Strong Growth, Below Historical P/E",TTM: 25%  |  2025: 26%  |  2024: 26%  |  2023: 18%  |  2022: 19%,✓ Filing 2025-03-31 (11mo old)
ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,16.7%,21.5% (4yr),0.07x,9.9% (3yr),2.7% (3yr),1.27x,0.0%,39.1%,10.6%,8.2%,86.9x,81.2x,1.2%,7.0%,₹1631.80,₹268.14,N,-0.32x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,16.7%,—,46.5,₹1475.86,above,Not yet,₹43838 Cr,49,WATCH,"Near Zero Debt, High Cash Quality",TTM: 17%  |  2025: 18%  |  2024: 22%  |  2023: 21%  |  2022: 26%,✓ Filing 2025-03-31 (11mo old)
EIDPARRY.NS,E.I.D.- Parry (India) Limited,Basic Materials,Agricultural Inputs,16.4%,21.4% (4yr),0.18x,12.0% (3yr),-1.1% (3yr),1.80x,0.0%,22.6%,6.1%,3.2%,11.8x,17.7x,8.5%,7.0%,₹789.05,₹953.57,N,-0.69x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,16.4%,—,32.7,₹1022.88,below,Ready,₹14045 Cr,49,WATCH,"Low Debt, Partial Growth, High Cash Quality",TTM: 16%  |  2025: 16%  |  2024: 19%  |  2023: 27%  |  2022: 24%,✓ Filing 2025-03-31 (11mo old)
SUNTV.NS,Sun TV Network Limited,Communication Services,Broadcasting,13.4%,20.0% (4yr),0.01x,3.9% (3yr),1.2% (3yr),1.08x,0.0%,66.4%,35.5%,35.7%,14.8x,13.6x,6.8%,7.0%,₹592.95,₹544.02,N,-3.57x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,13.4%,—,35.8,₹564.90,above,Not yet,₹23367 Cr,49,WATCH,"Near Zero Debt, High Cash Quality",TTM: 13%  |  2025: 14%  |  2024: 20%  |  2023: 21%  |  2022: 25%,✓ Filing 2025-03-31 (11mo old)
SUMICHEM.NS,Sumitomo Chemical India Limited,Basic Materials,Agricultural Inputs,15.7%,22.4% (4yr),0.02x,0.9% (3yr),6.1% (3yr),1.01x,0.0%,41.0%,14.6%,16.4%,36.4x,56.4x,2.7%,7.0%,₹387.00,₹152.00,N,-2.54x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,15.7%,—,39.2,₹496.49,below,Not yet,₹19317 Cr,49,WATCH,"Near Zero Debt, High Cash Quality",TTM: 16%  |  2025: 19%  |  2024: 17%  |  2023: 25%  |  2022: 28%,✓ Filing 2025-03-31 (11mo old)
